Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year to be a unicorn,Return on investment
Razorpay,8,11/10/2020,Fintech,Bengaluru,India,Asia,2013,1,"Sequoia Capital India, Tiger Global Management, Matrix Partners India",7,8
Dapper Labs,8,30/03/2021,Fintech,Vancouver,Canada,North America,2018,1,"Union Square Ventures, Venrock, Andreessen Horowitz",3,8
Lacework,8,07/01/2021,Cybersecurity,San Jose,United States,North America,2015,2,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",6,4
Tipalti,8,06/10/2020,Fintech,San Mateo,United States,North America,2010,1,"01 Advisors, Zeev Ventures, Group 11",10,8
Hopin,8,10/11/2020,Internet software & services,London,United Kingdom,Europe,2019,1,"Accel, Northzone Ventures, Institutional Venture Partners",1,8
Caris Life Sciences,8,12/05/2021,Health,Irving,United States,North America,1996,1,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management",25,8
Ramp,8,29/03/2021,Fintech,New York,United States,North America,2019,1,"D1 Capital Partners, Stripe, Coatue Management",2,8
Tempus,8,21/03/2018,Health,Chicago,United States,North America,2015,1,"New Enterprise Associates, T. Rowe Associates, Lightbank",3,8
Fireblocks,8,27/07/2021,Fintech,New York,United States,North America,2018,1,"Tenaya Capital, Coatue Management, Stripes Group",3,8
Flexport,8,30/04/2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2,"Bloomberg Beta, Founders Fund, First Round Capital",5,4
National Stock Exchange of India,7,01/07/2020,Fintech,Mumbai,India,Asia,1998,0,"TA Associates, SoftBank Group, GS Growth",22,0
Meicai,7,22/06/2016,Mobile & telecommunications,Beijing,China,Asia,2014,1,"Tiger Global Management, Blue Lake Capital, ZhenFund",2,7
Impossible Foods,7,13/05/2019,Consumer & retail,Redwood City,United States,North America,2011,2,"Khosla Ventures, Horizons Ventures, Temasek Holdings",8,4
CRED,7,06/04/2021,Fintech,Bengaluru,India,Asia,2018,1,"Tiger Global Management, DST Global, Sequoia Capital India",3,7
Attentive,7,23/09/2020,Mobile & telecommunications,Hoboken,United States,North America,2016,1,"NextView Ventures, Eniac Ventures, Sequoia Capital",4,7
Ola Cabs,7,27/10/2014,Auto & transportation,Bengaluru,India,Asia,2010,4,"Accel Partners, SoftBank Group, Sequoia Capital",4,2
Rippling,7,04/08/2020,Internet software & services,San Francisco,United States,North America,2017,0,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers",3,0
Carta,7,06/05/2019,Fintech,San Francisco,United States,North America,2012,1,"Menlo Ventures, Spark Capital, Union Square Ventures",7,7
Toss,7,09/12/2018,Fintech,Seoul,South Korea,Asia,2013,1,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",5,7
Ziroom,7,17/01/2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2,"Sequoia Capital China, Warburg Pincus, General Catalyst",7,4
Scale AI,7,05/08/2019,Artificial Intelligence,San Francisco,United States,North America,2018,1,"Accel, Y Combinator, Index Ventures",1,7
Gong,7,12/08/2020,Artificial Intelligence,Palo Alto,United States,North America,2015,1,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",5,7
TripActions,7,08/11/2018,Travel,Palo Alto,United States,North America,2015,1,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",3,7
1Password,7,08/07/2021,Cybersecurity,Toronto,Canada,North America,2005,1,"Slack Fund, Accel, Skip Capital",16,7
Automation Anywhere,7,02/07/2018,Artificial Intelligence,San Jose,United States,North America,2003,1,"General Atlantic, Goldman Sachs, New Enterprise Associates",15,7
Gemini,7,19/11/2021,Fintech,New York,United States,North America,2015,0,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",6,0
ConsenSys,7,17/11/2021,Fintech,New York,United States,North America,2014,1,"Third Point, Electric Capital, Coinbase Ventures",7,7
Ro,7,27/07/2020,Health,New York,United States,North America,2017,1,"Initialized Capital, General Catalyst, SignalFire",3,7
Black Unicorn Factory,6,20/05/2021,Other,Los Angeles,United States,North America,2020,1,Barter Ventures,1,6
Easyhome,6,12/02/2018,Consumer & retail,Beijing,China,Asia,1999,2,"Alibaba Group, Boyu Capital, Borui Capital",19,3
WeDoctor,6,22/09/2015,Health,Hangzhou,China,Asia,2010,1,"Tencent, Morningside Group",5,6
SVOLT,6,08/06/2020,Auto & transportation,Changzhou,China,Asia,2018,3,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2,2
Airwallex,6,25/03/2019,Fintech,Melbourne,Australia,Oceania,2015,1,"DST Global, Sequoia Capital China, Tencent Holdings",4,6
Deel,6,21/04/2021,Fintech,San Francisco,United States,North America,2018,1,"Andreessen Horowitz, Spark Capital, Y Combinator",3,6
Mambu,6,06/01/2021,Fintech,Amsterdam,Netherlands,Europe,2011,0,"Runa Capital, Acton Capital Partners, Point Nine Capital",10,0
Mollie,6,08/09/2020,Fintech,Amsterdam,Netherlands,Europe,2004,1,Technology Crossover Ventures,16,6
Doctolib,6,19/03/2019,Health,Paris,France,Europe,2013,1,"BPI France, Kerala Ventures, Accel",6,6
FiveTran,6,30/06/2020,Data management & analytics,Oakland,United States,North America,2012,1,"Matrix Partners, Andreessen Horowitz, General Catalyst",8,6
Postman,6,11/06/2020,Internet software & services,San Francisco,United States,North America,2014,0,"Nexus Venture Partners, CRV, Insight Partners",6,0
Back Market,6,18/05/2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1,"Aglae Ventures, Eurazeo, Daphni",7,6
Cityblock Health,6,10/12/2020,Health,Brooklyn,United States,North America,2017,1,"Thrive Capital, Maverick Ventures, Redpoint Ventures",3,6
DataRobot,6,29/07/2019,Artificial Intelligence,Boston,United States,North America,2012,1,"New Enterprise Associates, Accomplice, IA Ventures",7,6
Personio,6,19/01/2021,Internet software & services,Munich,Germany,Europe,2015,1,"Global Founders Capital, Nortzone Ventures, Picus Capital",6,6
RELEX Solutions,6,17/02/2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,1,"Blackstone, Technology Crossover Ventures, Summit Partners",17,6
Vice Media,6,02/04/2011,Internet software & services,Brooklyn,United States,North America,1994,1,"Technology Crossover Ventures, A&E Television Networks",17,6
Workato,6,12/01/2021,Internet software & services,Mountain View,United States,North America,2013,0,"Battery Ventures, Storm Ventures, Redpoint Ventures",8,0
Upgrade,6,12/02/2018,Fintech,San Francisco,United States,North America,2016,1,"Union Square Ventures, Ribbit Capital, VY Capital",2,6
Lianjia,6,07/04/2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1,"Tencent, Baidu, Huasheng Capital",15,6
Hinge Health,6,06/01/2021,Health,San Francisco,United States,North America,2015,1,"Atomico, Insight Partners, Coatue Management",6,6
Lyra Health,6,25/08/2020,Health,Burlingame,United States,North America,2015,1,"Greylock Partners, Venrock, Providence Ventures",5,6
Benchling,6,14/04/2021,Internet software & services,San Francisco,United States,North America,2012,0,"Thrive Capital, Benchmark, MenloVentures",9,0
Better.com,6,10/11/2020,Fintech,New York,United States,North America,2018,0,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2,0
iCapital Network,6,27/07/2021,Fintech,New York,United States,North America,2013,1,"BlackRock, Blackstone, UBS",8,6
Wiz,6,17/03/2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,1,"Insight Partners, Sequoia Capital, Index Ventures",1,6
DailyHunt,5,22/12/2020,Internet software & services,Bengaluru,India,Asia,2007,1,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",13,5
Howden Group Holdings,5,29/09/2020,Other,London,United Kingdom,Europe,1994,0,"General Atlantic, 3i Group, Huagai Capital",26,0
Meesho,5,05/04/2021,Internet software & services,Bengaluru,India,Asia,2015,1,"Venture Highway, Sequoia Capital India, Prosus Ventures",6,5
Meizu Technology,5,23/07/2014,Hardware,Zhuhai,China,Asia,2003,1,"Telling Telecommunication Holding Co., Alibaba Group",11,5
CloudWalk Technology,5,08/10/2018,Artificial Intelligence,Guangzhou,China,Asia,2015,1,"Oriza Holdings, Guangdong Technology Financial Group",3,5
Royole Corporation,5,18/08/2015,Hardware,Shenzhen,China,Asia,2012,1,"Warmsun Holding, IDG Capital Partners",3,5
Monzo,5,31/10/2018,Fintech,London,United Kingdom,Europe,2015,1,"Passion Capital, Thrive Capital, Orange Digital Ventures",3,5
Socure,5,16/03/2021,Cybersecurity,New York,United States,North America,2012,1,"Two Sigma Ventures, Flint Capital, Commerce Ventures",9,5
VIPKid,5,04/08/2016,Edtech,Beijing,China,Asia,2013,1,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",3,5
Vinted,5,27/11/2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,1,"Accel, Insight Partners, Burda Principal Investments",11,5
Lendable,5,31/03/2021,Fintech,London,United Kingdom,Europe,2014,0,"Ontario Teachers' Pension Plan, Goldman Sachs",7,0
UBTECH Robotics,5,25/07/2016,Hardware,Shenzhen,China,Asia,2012,1,"CDH Investments, Goldstone Investments, Qiming Venture Partners",4,5
Anduril,5,11/09/2019,Artificial Intelligence,Irvine,United States,North America,2017,1,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2,5
Checkr,5,19/09/2019,Internet software & services,San Francisco,United States,North America,2014,1,"Y Combinator, Accel, T. Rowe Price",5,5
Color,5,04/01/2021,Health,Burlingame,United States,North America,2013,1,"General Catalyst, Viking Global Investors, T. Rowe Price",8,5
Dataiku,5,04/12/2019,Internet software & services,New York,United States,North America,2013,1,"Alven Capital, FirstMark Capital, capitalG",6,5
BetterUp,5,25/02/2021,Internet software & services,San Francisco,United States,North America,2013,1,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",8,5
Pleo,5,06/07/2021,Fintech,Copenhagen,Denmark,Europe,2015,0,"Creandum, Founders, Kinnevik",6,0
Trade Republic,5,20/05/2021,Fintech,Berlin,Germany,Europe,2015,1,"Founders Fund, Accel, Creandum",6,5
Chipone,5,16/12/2021,Hardware,Beijing,China,Asia,2008,1,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",13,5
Collibra,5,29/01/2019,Data management & analytics,Brussels,Belgium,Europe,2008,1,"Index Ventures, Battery Ventures, ICONIQ Capital",11,5
Rappi,5,31/08/2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",3,3
6Sense,5,30/03/2021,Artificial Intelligence,San Francisco,United States,North America,2013,0,"Venrock, Battery Ventures, Insight Partners",8,0
Cerebral,5,10/06/2021,Health,San Francisco,United States,North America,2020,1,"Oak HC/FT Partners, Artis Ventures, WestCap Group",1,5
Creditas,5,18/12/2020,Fintech,Sao Paulo,Brazil,South America,2012,1,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",8,5
OneTrust,5,11/07/2019,Internet software & services,Atlanta,United States,North America,2016,1,Insight Partners,3,5
QuintoAndar,5,09/09/2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,1,"Kaszek Ventures, General Atlantic, SoftBank Group",7,5
C6 Bank,5,02/12/2020,Fintech,Sao Paulo,Brazil,South America,2018,2,Credit Suisse,2,3
Cockroach Labs,5,12/01/2021,Data management & analytics,New York,United States,North America,2015,1,"Google Ventures, Benchmark, FirstMark Capital",6,5
Hopper,5,24/03/2021,Travel,Montreal,Canada,North America,2007,1,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",14,5
Icertis,5,17/07/2019,Artificial Intelligence,Bellevue,United States,North America,2009,0,"Eight Roads Ventures, Greycroft, Ignition Partners",10,0
Moon Active,5,26/01/2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,0,"Insight Partners, Andalusian Capital Partners",9,0
OfBusiness,5,31/07/2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,1,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",6,5
Ola Electric Mobility,5,02/07/2019,Auto & transportation,Bengaluru,India,Asia,2019,1,"SoftBank Group, Tiger Global Management, Matrix Partners India",0,5
Pine Labs,5,24/01/2020,Fintech,Noida,India,Asia,1998,1,"Sequoia Capital India, Temasek, PayPal Ventures",22,5
Qonto,5,11/01/2022,Fintech,Paris,France,Europe,2016,1,"Alven Capital, Valar Ventures, Tencent Holdings",6,5
SambaNova Systems,5,13/04/2021,Data management & analytics,Palo Alto,United States,North America,2017,1,"Walden International, Google Ventures, Intel Capital",4,5
United Imaging Healthcare,5,15/09/2017,Health,Shanghai,China,Asia,2011,1,"China Life Insurance, China Development Bank Capital, CITIC Securities International",6,5
WM Motor,5,08/03/2019,Auto & transportation,Shanghai,China,Asia,2015,4,"Baidu Capital, Linear Venture, Tencent",4,1
ZEPZ,5,23/08/2021,Fintech,London,United Kingdom,Europe,2010,1,"Accel, Technology Crossover Ventures, LeapFrog Investments",11,5
Abogen,4,29/11/2021,Health,Suzhou,China,Asia,2019,1,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2,4
Greensill,4,16/07/2018,Fintech,London,United Kingdom,Europe,2011,2,"SoftBank Group, General Atlantic",7,2
HyalRoute,4,26/05/2020,Mobile & telecommunications,,Singapore,Asia,2015,0,Kuang-Chi,5,0
Radiology Partners,4,26/02/2018,Health,El Segundo,United States,North America,2012,1,"New Enterprise Associates, Starr Investment Holdings",6,4
Yello Mobile,4,11/11/2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,0,Formation 8,2,0
Turing,4,20/12/2021,Internet software & services,Palo Alto,United States,North America,2018,0,"Foundation Capital, Frontier Ventures, AltaIR Capital",3,0
Lenskart,4,20/12/2019,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,1,"Chiratae Ventures, PremjiInvest, Softbank",11,4
Kraken,4,25/06/2019,Fintech,San Francisco,United States,North America,2011,0,"Bnk To The Future, Trammell Ventures, SBI Investment",8,0
Horizon Robotics,4,27/02/2019,Artificial Intelligence,Beijing,China,Asia,2015,2,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",4,2
MoonPay,4,22/11/2021,Fintech,Miami,United States,North America,2019,1,"New Enterprise Associates, Coatue Management, Tiger Global Management",2,4
Celsius Network,4,12/10/2021,Fintech,Hoboken,United States,North America,2017,1,"WestCap Group, Caisse de depot et placement du Quebec",4,4
ChargeBee Technologies,4,20/04/2021,Fintech,Walnut,United States,North America,2011,1,"Insight Partners, Tiger Global Management, Accel",10,4
Coalition,4,17/03/2021,Cybersecurity,San Francisco,United States,North America,2017,1,"Two Sigma Ventures, Flint Capital, Commerce Ventures",4,4
Commure,4,16/09/2021,Internet software & services,San Francisco,United States,North America,2017,1,"General Catalyst, HCA Healthcare",4,4
Flock Safety,4,13/07/2021,Hardware,Atlanta,United States,North America,2017,0,"Matrix Partners, Initialized Capital, Tiger Global Management",4,0
Handshake,4,12/05/2021,Internet software & services,San Francisco,United States,North America,2014,0,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",7,0
Highspot,4,22/02/2021,Internet software & services,Seattle,United States,North America,2013,1,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",8,4
Indigo Ag,4,26/09/2017,Artificial Intelligence,Boston,United States,North America,2014,1,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",3,4
Mirakl,4,22/09/2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,1,"Elaia Partners, 83North, Felix Capital",9,4
Rec Room,4,23/03/2021,Internet software & services,Seattle,United States,North America,2016,0,"First Round Capital, Sequoia Capital, Index Ventures",5,0
Tekion,4,21/10/2020,Internet software & services,San Ramon,United States,North America,2016,0,"Airbus Ventures, Index Ventures, Advent International",4,0
Otto Bock HealthCare,4,24/06/2017,Health,Duderstadt,Germany,Europe,1919,0,EQT Partners,98,0
Outreach,4,16/04/2019,Internet software & services,Seattle,United States,North America,2011,1,"Mayfield Fund, M12, Trinity Ventures",8,4
WeRide,4,23/12/2020,Auto & transportation,Guangzhou,China,Asia,2017,1,"Atop Capital, IDInvest Partners, Qiming Venture Partners",3,4
Applied Intuition,4,22/10/2020,Data management & analytics,Sunnyvale,United States,North America,2017,0,"Andreessen Horowitz, Lux Capital, General Catalyst",3,0
Course Hero,4,12/02/2020,Edtech,Redwood City,United States,North America,2006,1,"NewView Capital, Maveron, Ridge Ventures",14,4
Relativity,4,18/03/2021,Internet software & services,Chicago,United States,North America,2001,0,"Silver Lake, ICONIQ Capital",20,0
Whoop,4,28/10/2020,E-commerce & direct-to-consumer,Boston,United States,North America,2012,0,"NextView Ventures, Promus Ventures, Two Sigma Ventures",8,0
Arctic Wolf Networks,4,22/10/2020,Cybersecurity,Eden Prairie,United States,North America,2012,1,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",8,4
GOAT,4,23/09/2020,E-commerce & direct-to-consumer,Culver City,United States,North America,2015,1,"Upfront Ventures, Webb Investment Network, D1 Capital Partners",5,4
Noom,4,24/05/2021,Health,New York,United States,North America,2006,1,"Qualcomm Ventures, Samsung Ventures, Silver Lake",15,4
Papaya Global,4,04/03/2021,Internet software & services,New York,United States,North America,2016,0,"Bessemer Venture Partners, Insight Partners, New Era Ventures",5,0
Redwood Materials,4,28/07/2021,Other,Carson City,United States,North America,2017,1,"Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners",4,4
